seqid	qlen	length	pident	mismatch	qstart	qend	sstart	send	gaps	evalue	taxonomy
6721;size=6;	1123	199	95.477	8	925	1123	1767	1964	1	1.12e-80	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12597;size=8;	597	597	97.487	11	1	597	291	883	4	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Cystobasidiomycetes; Cystobasidiales; Cystobasidiaceae; Cystobasidium; Cystobasidium calyptogenae
1129;size=6;	1221	238	94.118	8	575	810	3252	3485	6	7.19e-93	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Chytridiomycota; Chytridiomycota incertae sedis; Chytridiomycetes; Rhizophlyctidales; Rhizophlyctidaceae; Rhizophlyctis; Rhizophlyctis rosea
6209;size=7;	534	314	84.713	34	227	534	615	920	14	1.44e-76	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetes incertae sedis; Polyporales; Laetiporaceae; Kusaghiporia; Kusaghiporia persicina
10932;size=3;	822	190	81.053	30	251	437	699	513	6	1.1200000000000001e-29	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Saprolegniales; Saprolegniaceae; Aphanomyces; Aphanomyces raphani
12717;size=30;	843	355	78.31	58	1	349	3458930	3459271	19	4.03e-49	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Neisseriales; Chromobacteriaceae; Aquitalea; unclassified Aquitalea; Aquitalea sp. USM4
8728;size=12;	684	300	88.0	33	382	681	631	927	3	1.83e-91	cellular organisms; Eukaryota; Sar; Alveolata; Colpodellida; Vitrellaceae; Piridium; Piridium sociabile
10112;size=39;	685	573	91.099	51	1	573	946	1518	0	0.0	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Peridiniales; Heterocapsaceae; Heterocapsa; Heterocapsa triquetra
7461;size=54;	926	203	80.788	38	626	827	843	1045	1	5.87e-33	cellular organisms; Eukaryota; Opisthokonta; Choanoflagellata; Acanthoecida; Stephanoecidae; Didymoeca; Didymoeca costata
9284;size=5;	742	68	98.529	1	1	68	271	338	0	6.11e-22	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Cercomonadida; Cercomonadidae; Cercomonas; unclassified Cercomonas; Cercomonas sp. HFCC547
10253;size=12;	670	301	87.375	31	370	670	689	982	7	1.39e-87	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Torodiniales; Kapelodiniaceae; Kapelodinium; Kapelodinium vestifici
11844;size=49;	489	167	97.006	4	323	489	115	280	1	6.12e-70	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Cnidaria; Anthozoa; Hexacorallia; Actiniaria; Actiniidae; Urticina; unclassified Urticina; Urticina sp. JM-2016
8286;size=9;	845	344	88.663	21	504	845	1819	2146	18	6.21e-107	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
9713;size=13;	1017	470	98.511	3	543	1009	310	778	4	0.0	cellular organisms; Eukaryota; Haptista; Haptophyta; Prymnesiophyceae; Prymnesiales; Prymnesiaceae; unclassified Prymnesiaceae; Prymnesiaceae sp.
5839;size=59;	690	70	97.143	2	2	71	335	404	0	2.04e-21	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; environmental samples; uncultured marine dinoflagellate
1103;size=6;	903	172	94.186	6	734	903	1588	1757	4	1.53e-63	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
8266;size=5;	741	355	90.704	31	381	733	700	1054	2	1.46e-127	cellular organisms; Eukaryota; Opisthokonta; Choanoflagellata; Craspedida; Salpingoecidae; Salpingoeca; Salpingoeca aroma
6221;size=15;	571	332	90.964	23	245	571	1283	1612	7	3.13e-118	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5513;size=115;	1192	347	87.608	21	435	761	1431	1775	22	1.16e-100	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
7878;size=427;	439	254	98.425	4	186	439	27807	27554	0	1.41e-120	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Ephemeroptericola; Ephemeroptericola cinctiostellae
2762;size=14;	448	146	84.932	19	305	448	10580	10436	3	2.1200000000000002e-29	cellular organisms; Bacteria; Bacteria incertae sedis; Bacteria candidate phyla; Patescibacteria group; Parcubacteria group; Candidatus Parcubacteria; unclassified Candidatus Parcubacteria; Candidatus Parcubacteria bacterium
3635;size=5;	695	695	97.986	12	1	695	1113	1805	2	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
7475;size=35;	511	71	97.183	1	2	71	325	395	1	1.4800000000000002e-21	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Chlorarachniophyceae; Chlorarachnion; Chlorarachnion reptans
7605;size=35;	688	323	88.854	34	367	688	712	1033	2	8.37e-105	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; environmental samples; uncultured marine dinoflagellate
10094;size=11;	531	328	87.805	25	206	531	2818	3132	15	3.8600000000000003e-97	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Syndiniales; Amoebophryaceae; Amoebophrya; unclassified Amoebophrya; Amoebophrya sp. ex Gymnodinium instriatum
6409;size=11;	652	655	90.992	49	1	652	936	1583	10	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
3653;size=7;	709	339	89.971	30	371	709	1252	1586	4	1.83e-116	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Cystofilobasidiales; Mrakiaceae; Phaffia; unclassified Phaffia; Phaffia sp. CBS 11768
5640;size=6;	663	663	96.682	21	1	663	787	1448	1	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1291;size=4;	507	146	93.836	6	362	507	1800	1942	3	5.06e-51	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
10865;size=3;	634	334	86.228	22	324	634	1535	1867	24	3.6500000000000004e-88	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Leptomitales; Leptomitales incertae sedis; Blastulidium; Blastulidium paedophthorum
1799;size=7;	587	588	98.639	4	1	587	336	920	4	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Trichosporonales; Trichosporonaceae; Cutaneotrichosporon; Cutaneotrichosporon mucoides
3772;size=9;	1238	71	97.183	2	1	71	255	325	0	1.04e-21	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Cercomonadida; Cercomonadidae; Cercomonas; unclassified Cercomonas; Cercomonas sp. HFCC540
10588;size=6;	590	591	98.985	4	1	590	309	898	2	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetes incertae sedis; Hymenochaetales; Tubulicrinaceae; Tubulicrinis; unclassified Tubulicrinis; Tubulicrinis sp. GEL5046
10482;size=5;	599	346	86.705	36	256	599	1286	1623	10	9.43e-99	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
6686;size=32;	516	141	94.326	8	376	516	18854211	18854071	0	5.16e-51	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Actinopterygii; Actinopteri; Neopterygii; Teleostei; Osteoglossocephalai; Clupeocephala; Otomorpha; Ostariophysi; Anotophysi; Gonorynchiformes; Chanoidei; Chanidae; Chanos; Chanos chanos
8011;size=10;	417	187	84.492	29	231	417	31	217	0	1.15e-41	cellular organisms; Bacteria; environmental samples; uncultured bacterium
9440;size=8;	761	367	88.556	30	396	761	1470	1825	12	1.97e-116	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
3376;size=6;	502	257	92.996	17	246	502	2111135	2110880	1	2.8099999999999998e-98	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Betaproteobacteria incertae sedis; Candidatus Desulfobacillus; Candidatus Desulfobacillus denitrificans
6443;size=4;	866	334	85.928	38	1	331	1737	1410	9	3.0299999999999997e-90	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1031;size=29;	757	196	96.429	5	562	757	1364	1557	2	1.59e-82	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
11188;size=13;	608	95	91.579	5	1	95	1094	1185	3	2.9599999999999997e-24	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
7213;size=25;	1090	294	98.98	3	789	1082	1	294	0	4.6000000000000006e-144	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Gymnoplea; Calanoida; Heterorhabdidae; Heterorhabdus; Heterorhabdus norvegicus
2887;size=81;	785	791	89.254	68	1	785	349	1128	17	0.0	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Oomycota incertae sedis; Lagenisma; Lagenisma coscinodisci
9416;size=17;	506	74	98.649	1	1	74	371	444	0	1.88e-25	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; Mamiellophyceae; Monomastigales; Monomastigaceae; Monomastix; unclassified Monomastix; Monomastix sp. M0722
2863;size=9;	632	169	98.817	2	464	632	1929	2097	0	1.72e-76	cellular organisms; Eukaryota; Discoba; Euglenozoa; Kinetoplastea; Metakinetoplastina; Trypanosomatida; Trypanosomatidae; Trypanosoma; Trypanosoma with unspecified subgenus; Trypanosoma conorhini
1026;size=7;	509	239	92.05	19	269	507	278	40	0	3.74e-87	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; environmental samples; uncultured Oomycota
11675;size=416;	1039	793	89.029	74	254	1039	1078	1864	13	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4200;size=94;	735	348	94.253	14	391	735	671	1015	6	3.05e-144	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Cercomonadida; Cercomonadidae; Cercomonas; unclassified Cercomonas; Cercomonas sp. HFCC548
8331;size=36;	607	74	97.297	1	1	73	2769	2842	1	3.8199999999999996e-23	cellular organisms; Eukaryota; Sar; Stramenopiles; unclassified stramenopiles; Marine_stramenopiles_MASTs group; Stramenopiles sp. MAST-3C-sp2
4016;size=8;	1153	436	88.303	37	256	683	1580	2009	14	4.92e-139	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
5346;size=8;	611	322	92.547	20	292	611	2813	3132	4	9.28e-124	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Syndiniales; Amoebophryaceae; Amoebophrya; unclassified Amoebophrya; Amoebophrya sp. ex Gymnodinium instriatum
8516;size=5;	684	69	97.101	2	1	69	336	404	0	7.25e-21	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; environmental samples; uncultured marine dinoflagellate
11927;size=119;	660	343	90.962	22	319	660	756	1090	9	4.69e-122	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Blastocladiomycota; Blastocladiomycetes; Blastocladiales; Blastocladiaceae; Blastocladiella; Blastocladiella emersonii
4695;size=6;	549	74	100.0	0	1	74	326	399	0	4.410000000000001e-27	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Chlorarachniophyceae; Viridiuvalis; Viridiuvalis adhaerens
578;size=4;	698	698	99.14	4	1	698	992	1687	2	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Tunicata; Appendicularia; Copelata; Oikopleuridae; Oikopleura; unclassified Oikopleura; Oikopleura sp.
471;size=21;	871	873	93.127	54	1	871	384	1252	6	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Chelicerata; Arachnida; Acari; Acariformes; Sarcoptiformes; Oribatida; Brachypylina; Oppioidea; Oppiidae; Oppia; Oppia nitens
10943;size=11;	600	601	94.176	18	1	600	336	920	17	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Trichosporonales; Trichosporonaceae; Cutaneotrichosporon; Cutaneotrichosporon mucoides
7524;size=46;	766	167	92.216	13	1	167	1547	1381	0	6.01e-57	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Peridiniales; Heterocapsaceae; Heterocapsa; Heterocapsa circularisquama
236;size=11;	435	259	91.892	20	178	435	434	692	1	1.87e-94	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; environmental samples; uncultured beta proteobacterium
8466;size=417;	1210	74	98.649	0	1	74	1033	1105	1	1.69e-24	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1874;size=25;	649	606	99.67	2	1	606	275	880	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Zoopagomycota; Entomophthoromycotina; Entomophthoromycetes; Entomophthorales; Ancylistaceae; Conidiobolus; Conidiobolus lamprauges
7019;size=4;	918	199	97.99	4	720	918	1777	1975	0	1.16e-89	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2174;size=3;	685	67	98.507	1	1	67	369	435	0	2.0200000000000003e-21	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Gonyaulacales; Amphidomataceae; Azadinium; Azadinium concinnum
813;size=8;	558	328	91.159	28	232	558	3134	3461	1	2.36e-119	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Cryptomycota; Cryptomycota incertae sedis; Rozella; unclassified Rozella; Rozella sp.
10778;size=3;	516	301	85.714	27	223	516	524	815	16	3.85e-77	cellular organisms; Eukaryota; Sar; Stramenopiles; Ochrophyta; Bacillariophyta; Bacillariophyceae; Eunotiophycidae; Eunotiales; Eunotiaceae; Eunotia; unclassified Eunotia; Eunotia sp.
129;size=106;	590	590	100.0	0	1	590	12	601	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Rhabditina; Rhabditomorpha; Rhabditoidea; Rhabditidae; Rhabditinae; Oscheius; Oscheius tipulae
6197;size=37;	941	196	97.449	5	746	941	814	1009	0	2.57e-86	cellular organisms; Eukaryota; Opisthokonta; Choanoflagellata; Acanthoecida; Acanthoecidae; Savillea; Savillea micropora
13039;size=7;	796	435	98.621	6	1	435	315	749	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Spirurina; Oxyuridomorpha; Oxyuroidea; Oxyuridae; Syphacia; Syphacia muris
9528;size=21;	782	781	95.134	37	2	782	1102	1881	1	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
999;size=5;	561	562	94.484	26	1	561	6568	7125	5	0.0	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; Ulvophyceae; TCBD clade; Trentepohliales; environmental samples; uncultured Trentepohlia photobiont
8707;size=50;	681	345	79.71	51	347	681	867	1202	19	2.47e-55	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Chondrichthyes; Elasmobranchii; Selachii; Squalomorphii; Hexanchiformes; Hexanchidae; Heptranchias; Heptranchias perlo
2504;size=81;	542	542	99.446	3	1	542	2299	2840	0	0.0	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Tetraselmis; Tetraselmis chuii
7447;size=6;	741	345	90.435	29	394	736	1569	1911	4	1.91e-121	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
8229;size=94;	859	171	93.567	11	689	859	1661	1831	0	1.87e-62	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
3426;size=29;	676	680	93.824	35	1	676	345	1021	7	0.0	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Gymnodiniales; Kareniaceae; unclassified Kareniaceae; Kareniaceae sp. IFR11-015
3306;size=5;	578	313	84.665	31	280	578	1260	1569	17	7.27e-75	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
10085;size=15;	569	162	96.914	5	408	569	1597	1758	0	1.1999999999999998e-67	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2360;size=107;	669	669	98.655	9	1	669	1242	1910	0	0.0	cellular organisms; Eukaryota; Amoebozoa; Tubulinea; Echinamoebida; Vermamoeba; Vermamoeba vermiformis
5205;size=6;	844	568	97.359	13	278	844	1149	1715	2	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; environmental samples; Metazoa environmental sample
5849;size=5;	760	145	95.172	7	616	760	1838	1982	0	9.979999999999999e-55	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
9751;size=9;	827	162	87.654	18	667	827	155	315	2	6.659999999999999e-42	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Chelicerata; Arachnida; Araneae; Araneomorphae; Entelegynae; Entelegynae incertae sedis; Zodariidae; Habronestes; unclassified Habronestes; Habronestes sp. CAS 902373/AU06-123
10587;size=44;	1264	358	93.017	18	1	357	976890	976539	7	1.16e-140	cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Arcobacteraceae; Arcobacter; unclassified Arcobacter; Arcobacter sp. FWKO B
2599;size=158;	1088	472	99.788	1	115	586	1430	959	0	0.0	cellular organisms; Eukaryota; Sar; Alveolata; environmental samples; uncultured marine alveolate
639;size=3;	918	204	94.118	10	710	913	1696	1897	2	1.52e-78	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
3623;size=70;	553	166	87.952	13	390	553	804	964	7	1.2099999999999999e-42	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera; Psychodomorpha; Psychodoidea; Psychodidae; Phlebotominae; Psathyromyia; aragaoi group; Psathyromyia aragaoi
2805;size=6;	771	771	97.795	17	1	771	1194	1964	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
971;size=11;	486	146	93.151	8	342	486	352302	352158	2	6.25e-50	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Bivalvia; Autobranchia; Heteroconchia; Euheterodonta; Imparidentia; Lucinida; Lucinoidea; Lucinidae; Loripinus; Loripinus fragilis
3572;size=1314;	1286	74	98.649	0	1	74	1033	1105	1	1.8e-24	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
7350;size=6;	716	177	92.655	13	540	716	571	747	0	1.55e-62	cellular organisms; Eukaryota; Sar; Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Hypotrichia; environmental samples; uncultured Hypotrichia
4318;size=3;	717	146	95.205	7	572	717	714	859	0	2.6099999999999998e-55	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Dipodascomycetes; Dipodascales; Trichomonascaceae; Wickerhamiella; Wickerhamiella drosophilae
3477;size=3;	788	140	93.571	9	649	788	878	1017	0	1.3499999999999999e-48	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Platyhelminthes; Rhabditophora; Seriata; Tricladida; Continenticola; Geoplanoidea; Dugesiidae; Schmidtea; Schmidtea nova
1064;size=4;	678	678	100.0	0	1	678	335	1012	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Fungi incertae sedis; Mucoromycota; Mucoromycotina; Mucoromycetes; Mucorales; Phycomycetaceae; Phycomyces; Phycomyces nitens
3816;size=5;	765	766	99.217	5	1	765	2391	3156	1	0.0	cellular organisms; Eukaryota; Sar; Rhizaria; Cercozoa; Cercomonadida; Cercomonadidae; Cercomonas; unclassified Cercomonas; Cercomonas sp.
4934;size=59;	765	354	89.831	29	392	744	505	852	7	2.55e-120	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Leptomitales; Leptolegniellaceae; Leptolegniella; Leptolegniella exogena
1169;size=1052;	676	671	90.611	63	1	671	309	979	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Podoplea; Cyclopoida; Cyclopidae; Tropocyclops; Tropocyclops ishidai
9218;size=7;	831	335	82.985	49	504	831	753	1086	8	1.07e-74	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Pythiales; Pythiaceae; Halophytophthora; Halophytophthora exoprolifera
9702;size=14;	624	71	97.183	2	1	71	349	419	0	5.090000000000001e-22	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Oomycota incertae sedis; Lagenisma; Lagenisma coscinodisci
3020;size=1696;	936	372	87.097	40	570	936	656214	655846	8	3.1900000000000005e-110	cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Arcobacteraceae; Arcobacter; unclassified Arcobacter; Arcobacter sp. FWKO B
9500;size=91;	456	193	84.456	29	3	195	335	526	1	9.830000000000001e-43	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; environmental samples; uncultured marine dinoflagellate
10260;size=8;	590	312	90.064	20	282	590	1366	1669	11	2.56e-104	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
11899;size=57;	594	600	88.5	54	1	594	838	1428	15	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
9839;size=9;	508	81	93.827	3	1	81	524548	524626	2	4.0900000000000002e-22	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Betaproteobacteria incertae sedis; Candidatus Desulfobacillus; Candidatus Desulfobacillus denitrificans
12205;size=27;	583	72	98.611	1	253	324	1489	1418	0	2.8299999999999997e-24	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
192;size=6;	693	693	96.248	24	1	693	1054	1744	2	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1909;size=8;	1079	347	91.066	21	1	343	1759	1419	10	4.69e-124	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2631;size=9;	695	209	94.737	9	482	690	1344	1550	2	4.05e-83	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
2806;size=9;	765	90	91.111	5	1	89	1010	1097	3	2.2700000000000004e-21	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
10029;size=32;	764	777	89.189	64	1	764	1198	1967	20	0.0	cellular organisms; Eukaryota; Sar; Stramenopiles; Oomycota; Myzocytiopsidales; Myzocytiopsidaceae; Myzocytiopsis; unclassified Myzocytiopsis; Myzocytiopsis sp. venatrix
6168;size=44;	1261	229	96.07	7	567	794	555	782	2	2.65e-97	cellular organisms; Eukaryota; Sar; Alveolata; Ciliophora; Intramacronucleata; Spirotrichea; Hypotrichia; environmental samples; uncultured Hypotrichia
2666;size=15;	880	330	84.545	38	561	880	1453	1779	13	3.1200000000000003e-80	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
3832;size=6;	591	359	88.858	23	235	591	1280	1623	17	9.1e-114	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
11428;size=32;	498	328	92.683	14	177	498	1486	1809	10	1.6000000000000002e-125	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
12406;size=159;	505	165	89.697	17	341	505	1381	1545	0	2.34e-49	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; Peridiniales; Heterocapsaceae; Heterocapsa; Heterocapsa circularisquama
6183;size=20;	698	86	93.023	6	1	86	336	421	0	1.2299999999999998e-23	cellular organisms; Eukaryota; Sar; Alveolata; Dinophyceae; environmental samples; uncultured marine dinoflagellate
8981;size=4;	1125	394	99.746	1	434	827	180	573	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Crustacea; Multicrustacea; Hexanauplia; Copepoda; Neocopepoda; Podoplea; Cyclopoida; Oithonidae; Oithona; Oithona atlantica
12512;size=6;	881	177	97.74	4	705	881	2045	2221	0	1.88e-77	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
1695;size=105;	720	333	94.895	9	389	720	1422	1747	8	2.32e-140	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
4634;size=6;	814	840	83.095	74	1	814	290	1087	68	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Collembola; Entomobryomorpha; Entomobryoidea; Paronellidae; Callyntrura; Callyntrura guangdongensis
1497;size=22;	593	518	93.243	30	1	516	853	1367	5	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Microbotryomycetes; Microbotryomycetes incertae sedis; Chrysozymaceae; Yunzhangia; unclassified Yunzhangia; Yunzhangia sp.
2078;size=4;	830	520	97.885	11	311	830	3494913	3494394	0	0.0	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Ecdysozoa; Panarthropoda; Arthropoda; Mandibulata; Pancrustacea; Hexapoda; Insecta; Dicondylia; Pterygota; Neoptera; Endopterygota; Amphiesmenoptera; Lepidoptera; Glossata; Neolepidoptera; Heteroneura; Ditrysia; Obtectomera; Noctuoidea; Noctuidae; Noctuinae; Noctuini; Anaplectoides; Anaplectoides prasina
8065;size=7;	916	158	94.304	7	760	916	1385	1541	2	5.61e-58	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
6816;size=14;	583	584	90.068	45	1	580	977	1551	13	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; environmental samples; uncultured fungus
3639;size=34;	591	592	93.581	33	3	591	767461	768050	5	0.0	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Ustilaginomycotina; Malasseziomycetes; Malasseziales; Malasseziaceae; Malassezia; Malassezia arunalokei
